TAX_MAP,plat,lot,unit,CLASS,SHORT_DESC,FORMATED_ADDRESS,ZIP_POSTAL
046-0243-0000,46,243,0,75,Hospital,258 Plain St,02905
031-0488-0000,31,488,0,2,2 -5 Family,53 Diamond St,02907
081-0071-0000,81,71,0,1,Single Family,68 Lucille St,02908
046-0160-0000,46,160,0,6,Commercial II,120 Allens Ave,02905
064-0914-0000,64,914,0,2,2 -5 Family,215 Mount Pleasant Ave,02909
067-0139-0000,67,139,0,13,Residential Vacant Land,116 West Park St,02901
053-0019-0000,53,19,0,2,2 -5 Family,47 Pennsylvania,02905
052-0091-0000,52,91,0,14,CI Vacant Land,20 Gwinett Ct,02907
015-0248-0000,15,248,0,14,CI Vacant Land,47 Seekonk St,02906
023-0217-0000,23,217,0,71,Charitable,132 West Clifford,02903
025-0405-0000,25,405,0,14,CI Vacant Land,58 Jackson Walkway,02903
008-0402-0000,8,402,0,2,2 -5 Family,232 Doyle Ave,02906
084-0440-0000,84,440,0,6,Commercial II,1078 Chalkstone Ave,NA
069-0577-0000,69,577,0,2,2 -5 Family,20 Alma St,02908
101-0428-0000,101,428,0,14,CI Vacant Land,156 Toronto Ave,02905
076-0178-0000,76,178,0,1,Single Family,130 Cornwall St,02904
033-0665-0000,33,665,0,3,Apartment Building,48 Swiss St,02901
065-0293-0000,65,293,0,2,2 -5 Family,22 Bergen St,02909
101-0419-0000,101,419,0,14,CI Vacant Land,165 Georgia Ave,02905
059-0379-0000,59,379,0,1,Single Family,100 Carr St,02905
066-0244-0000,66,244,0,4,Combination,11 Felix St,02908
025-0249-0004,25,249,4,24,Commercial Condo,711 Westminster St Unit 4,02909
026-0153-0000,26,153,0,3,Apartment Building,55 Brayton Ave,02909
054-0251-8LAW,54,251,8LAW,12,Miscellaneous,81 Colfax St,02905
020-0126-0000,20,126,0,14,CI Vacant Land,27 Weybosset St,02903
078-0232-0000,78,232,0,7,Industrial,901 Branch Ave,02904
073-0060-0000,73,60,0,2,2 -5 Family,129 Fifth St,02906
014-0121-0003,14,121,3,23,Residential Condo,23 Pitman St,NA
044-0316-0000,44,316,0,2,2 -5 Family,133 Wesleyan Ave,02907
006-0043-0000,6,43,0,2,2 -5 Family,533 Hope St,02906
033-0391-0000,33,391,0,13,Residential Vacant Land,44 Tuxedo Ave,02909
065-0720-0000,65,720,0,13,Residential Vacant Land,20 Wealth Ave,02909
076-0371-0000,76,371,0,2,2 -5 Family,233 Admiral St,02904
101-0031-0000,101,31,0,14,CI Vacant Land,54 Chapman St,02905
062-0502-8LAW,62,502,8LAW,12,Miscellaneous,44 Julian St,02909
061-0093-0000,61,93,0,1,Single Family,132 Roger Williams Ave,02905
052-0385-0000,52,385,0,2,2 -5 Family,107 Lenox Ave,02907
034-0244-0000,34,244,0,13,Residential Vacant Land,69 Leander St,02909
042-0108-8LAW,42,108,8LAW,12,Miscellaneous,179 Althea St,02907
005-0432-0000,5,432,0,13,Residential Vacant Land,54 Duncan Ave,02906
109-0329-0000,109,329,0,4,Combination,240 Pocasset Ave,02909
117-0483-0000,117,483,0,83,44-3-9 Stb,25 Winrooth Ave,02908
085-0448-0000,85,448,0,1,Single Family,115 Naples Ave,02908
078-0242-0000,78,242,0,13,Residential Vacant Land,16 Andy,02904
002-0556-0000,2,556,0,7,Industrial,286 Charles St,02904
063-0154-0000,63,154,0,13,Residential Vacant Land,46 Covell St,02909
073-0452-0000,73,452,0,72,Church,40 Rochambeau Ave,02906
024-0673-0000,24,673,0,72,Church,300 Westminster St,02901
047-0729-0000,47,729,0,3,Apartment Building,865 Eddy St,02905
047-0771-0000,47,771,0,80,State,134 Oxford St,02905
067-0234-0000,67,234,0,13,Residential Vacant Land,11 Zone St,02901
054-0162-0000,54,162,0,14,CI Vacant Land,30 Blundell St,NA
029-0322-0000,29,322,0,71,Charitable,9 Somerset St,02901
049-0211-0000,49,211,0,2,2 -5 Family,130 Laura St,02907
120-0482-0000,120,482,0,71,Charitable,591 Smith St,02908
012-0462-0000,12,462,0,2,2 -5 Family,257 Benefit St,02906
023-0957-8LAW,23,957,8LAW,12,Miscellaneous,382 Friendship St,02905
067-0363-0000,67,363,0,14,CI Vacant Land,46 Bath St,02908
052-0566-0005,52,566,5,23,Residential Condo,216 Lexington Ave,NA
023-0929-0000,23,929,0,14,CI Vacant Land,112 Beacon,02905
062-0391-0000,62,391,0,2,2 -5 Family,772 Atwells Ave,02909
067-0077-0000,67,77,0,71,Charitable,6 Fran Conway Pl,02908
105-0484-0000,105,484,0,78,Municipal,66 Judith St,02909
062-0080-0000,62,80,0,2,2 -5 Family,89 Julian St,02909
045-0207-0000,45,207,0,1,Single Family,21 Wesleyan Ave,02905
059-0872-0000,59,872,0,13,Residential Vacant Land,55 Verndale Ave,02905
095-0187-0000,95,187,0,78,Municipal,21 Parnell St,02908
072-0150-0000,72,150,0,14,CI Vacant Land,25 Edward St,02904
053-0108-0000,53,108,0,1,Single Family,149 Colfax St,02905
043-0345-0000,43,345,0,72,Church,4 Halton St,02907
017-0638-0000,17,638,0,7,Industrial,113 Gano St,02906
017-0129-0000,17,129,0,13,Residential Vacant Land,33 East St,02906
105-0304-0000,105,304,0,5,Commercial I,2 Pocasset Ave,02909
079-0088-0000,79,88,0,1,Single Family,59 Waite St,02904
024-0105-0000,24,105,0,4,Combination,86 Summer St,02905
014-0113-0000,14,113,0,1,Single Family,55 Pitman St,02906
017-0484-0000,17,484,0,2,2 -5 Family,43 Trenton St,02906
028-0532-0000,28,532,0,13,Residential Vacant Land,17 Gesler St,02909
126-0007-002K,126,7,002K,24,Commercial Condo,364 Reservoir Ave,02905
076-0260-0000,76,260,0,4,Combination,103 Hawkins St,02904
074-0001-0000,74,1,0,14,CI Vacant Land,316 Branch Ave,02904
071-0583-0003,71,583,3,23,Residential Condo,19 Stone St,NA
003-0203-0000,3,203,0,4,Combination,4 Benefit St,02906
048-0779-0000,48,779,0,13,Residential Vacant Land,284 Potters Ave,02905
017-0473-0000,17,473,0,3,Apartment Building,644 Wickenden St,02906
044-0360-0000,44,360,0,3,Apartment Building,55 Dartmouth Ave,02907
023-0661-0000,23,661,0,75,Hospital,165 Dudley St,02905
016-0129-0000,16,129,0,1,Single Family,53 Transit St,02906
026-0382-0000,26,382,0,83,44-3-9 Stb,100 Cedar St,02901
077-0423-0000,77,423,0,13,Residential Vacant Land,34 Danby St,02904
005-0187-0000,5,187,0,1,Single Family,46 Royal St,02906
059-0134-0000,59,134,0,1,Single Family,25 Marion Ave N,02905
067-0435-0000,67,435,0,1,Single Family,137 Bath St,02908
081-0242-0000,81,242,0,4,Combination,590 Admiral St,02904
062-0057-0000,62,57,0,3,Apartment Building,156 Putnam St,02909
047-0710-0000,47,710,0,2,2 -5 Family,247 Swan St,02905
054-0296-0000,54,296,0,13,Residential Vacant Land,20 Rachel St,02905
073-0240-0000,73,240,0,2,2 -5 Family,8 Glendale Ave,02906
053-0075-0000,53,75,0,2,2 -5 Family,189 Gallup St,02905
029-0074-0000,29,74,0,2,2 -5 Family,148 Carpenter St,02909
031-0611-0000,31,611,0,14,CI Vacant Land,96 Diamond St,02907
021-0450-0000,21,450,0,80,State,30 Hoppin St,02903
063-0009-0000,63,9,0,2,2 -5 Family,30 Erastus St,02909
016-0504-0000,16,504,0,2,2 -5 Family,82 Hope St,02906
023-0013-0000,23,13,0,2,2 -5 Family,240 Pearl St,02905
033-0455-0000,33,455,0,7,Industrial,2 Amherst St,02909
005-0009-0000,5,9,0,2,2 -5 Family,84 Evergreen St,02906
082-0162-0000,82,162,0,2,2 -5 Family,648 Smith St,02908
006-0056-0000,6,56,0,2,2 -5 Family,240 Pleasant St,02906
035-0095-0000,35,95,0,78,Municipal,1707 Westminster St,02901
006-0181-0000,6,181,0,13,Residential Vacant Land,6 Larch St,02906
033-0706-0000,33,706,0,14,CI Vacant Land,12 Tuxedo Ave,02909
114-0050-0000,114,50,0,14,CI Vacant Land,89 Celia St,02909
000-0001-0008,0,1,8,10,Utility,0 Various Street Locations,02904
054-0053-0000,54,53,0,13,Residential Vacant Land,11 Gallup St,02905
037-0418-0000,37,418,0,2,2 -5 Family,11 Rosedale St,02907
065-0749-0000,65,749,0,2,2 -5 Family,11 Health Ave,02909
067-0041-0000,67,41,0,13,Residential Vacant Land,20 Duke St,02908
108-0026-0000,108,26,0,14,CI Vacant Land,148 Pocasset Ave,02909
062-0124-0000,62,124,0,2,2 -5 Family,139 Putnam St,02909
077-0032-0000,77,32,0,13,Residential Vacant Land,19 Danby St,02904
057-0165-0000,57,165,0,14,CI Vacant Land,25 Aldrich St,02905
027-0091-0000,27,91,0,6,Commercial II,14 Pleasant Valley Pkwy,NA
097-0959-0000,97,959,0,3,Apartment Building,834 Charles St,02904
102-0215-0000,102,215,0,76,Library,233 Veazie St,02904
030-0575-0000,30,575,0,13,Residential Vacant Land,20 Arch St,02907
064-0679-0000,64,679,0,2,2 -5 Family,873 Atwells Ave,02909
049-0388-0000,49,388,0,2,2 -5 Family,157 Congress Ave,02907
036-0297-0000,36,297,0,13,Residential Vacant Land,50R Willow St,02907
037-0188-8LAW,37,188,8LAW,12,Miscellaneous,21 Marvin St,02907
028-0307-0000,28,307,0,2,2 -5 Family,18 Pallas St,02909
098-0387-0000,98,387,0,6,Commercial II,619 Charles St,02904
025-0446-0000,25,446,0,71,Charitable,87 Empire St,02903
077-0001-0000,77,1,0,5,Commercial I,350 Silver Spring St,02904
005-0369-0000,5,369,0,2,2 -5 Family,78 Lancaster St,02906
015-0201-0010,15,201,10,23,Residential Condo,48 South Angell,02906
062-0512-0000,62,512,0,1,Single Family,23 Florence St,02909
017-0422-0001,17,422,1,23,Residential Condo,96 Gano St,NA
010-0469-0000,10,469,0,79,School,3 Defoe Pl,02903
098-0063-0000,98,63,0,14,CI Vacant Land,573 Branch Ave,02904
033-0242-0000,33,242,0,2,2 -5 Family,87 Ring St,02909
024-0339-0000,24,339,0,79,School,19 Foster St,02901
048-0687-0000,48,687,0,13,Residential Vacant Land,36 Croyland Rd,02905
064-0632-0000,64,632,0,2,2 -5 Family,75 Belmont Ave,02909
010-0665-0000,10,665,0,1,Single Family,187 North Main,02903
077-0490-0000,77,490,0,2,2 -5 Family,90 Job St,02904
017-0192-0000,17,192,0,2,2 -5 Family,113 Arnold St,02906
082-0289-021A,82,289,021A,23,Residential Condo,2 Arbor Dr,02908
015-0217-0000,15,217,0,14,CI Vacant Land,12 Seekonk St,02906
066-0249-0000,66,249,0,2,2 -5 Family,23 Felix St,02908
054-0893-0000,54,893,0,2,2 -5 Family,259 Thurbers Ave,NA
072-0564-0000,72,564,0,6,Commercial II,70 Royal Little Dr,02903
098-0372-0000,98,372,0,71,Charitable,641 Charles St,02904
064-0944-0000,64,944,0,2,2 -5 Family,10 Montrose St,NA
017-0596-0000,17,596,0,2,2 -5 Family,183 Ives St,02906
013-0260-0000,13,260,0,1,Single Family,123 Benevolent St,02906
073-0571-0102,73,571,102,23,Residential Condo,20 Stenton Ave,NA
032-0048-0000,32,48,0,14,CI Vacant Land,524 Washington St,02909
037-0333-0000,37,333,0,2,2 -5 Family,147 Wood St,02907
115-0234-0000,115,234,0,78,Municipal,22 Wright,02909
047-0597-0000,47,597,0,14,CI Vacant Land,23 Poe St,02905
025-0152-C002,25,152,C002,24,Commercial Condo,55 Union St Unit C002,02903
043-0977-0000,43,977,0,71,Charitable,52 Brattle St,02907
059-0111-0000,59,111,0,2,2 -5 Family,86 Marion Ave N,02905
064-0282-0000,64,282,0,1,Single Family,105 Pemberton St,02909
113-0342-0000,113,342,0,78,Municipal,491 Hartford Ave,02909
061-0334-0000,61,334,0,1,Single Family,172 Rutherglen Ave,02905
028-0630-0000,28,630,0,4,Combination,243 Atwells Ave,02909
076-0011-0000,76,11,0,13,Residential Vacant Land,512 Charles St,02904
023-0208-0000,23,208,0,13,Residential Vacant Land,309 Dudley St,02905
036-0137-0000,36,137,0,2,2 -5 Family,39 Wood St,02907
071-0429-0000,71,429,0,3,Apartment Building,8 Flora St,02904
064-0742-0000,64,742,0,13,Residential Vacant Land,16 Armington Ave,02909
015-0360-T310,15,360,T310,23,Residential Condo,111 South Angell,02906
007-0027-0000,7,27,0,3,Apartment Building,100 Taft Ave,02906
061-0074-0000,61,74,0,2,2 -5 Family,141 Roger Williams Ave,02905
031-0591-8LAW,31,591,8LAW,12,Miscellaneous,87 Diamond St,02907
067-0321-0000,67,321,0,7,Industrial,233 West Park,02908
053-0240-0000,53,240,0,1,Single Family,27 Detroit Ave,02907
128-0001-0000,128,1,0,78,Municipal,434 Mount Pleasant Ave,NA
053-0452-0000,53,452,0,1,Single Family,43 Atlantic Ave,02907
074-0376-0000,74,376,0,6,Commercial II,181 Corliss St,02904
087-0213-0000,87,213,0,1,Single Family,315 California Ave,02905
065-0219-0000,65,219,0,2,2 -5 Family,11 Harvest St,02909
107-0596-0000,107,596,0,72,Church,541 Plainfield St,02909
089-0139-0000,89,139,0,5,Commercial I,1150 Elmwood Ave,02905
012-0470-0000,12,470,0,79,School,161 South Main,02903
030-0204-8LAW,30,204,8LAW,12,Miscellaneous,27 Gilmore St,02907
049-0192-8LAW,49,192,8LAW,12,Miscellaneous,213 Congress Ave,02907
040-0067-0000,40,67,0,2,2 -5 Family,207 Cole Ave,02906
033-0065-0000,33,65,0,2,2 -5 Family,58 Gesler St,02909
